depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
815.82,13409,12,1,12,0.2765,0.1086,0.1679,0.0367,0.066,0.0989,0.066,-0.1339,5.23,0.39,0,0,0,0,0,0,1.73,335,,,,,,,,,,
816.28,13429,16,1,16,0.3721,0.1077,0.2644,0.0364,0.0656,0.0983,0.0656,-0.1335,5.15,0.41,0,0,0,0,0,0,1.73,335,,,,,,,,,,
816.74,13449,12,1,11.5,0.2572,0.1063,0.1509,0.036,0.0651,0.0977,0.0651,-0.1334,5.09,0.4,1,1,1,1,0,8.5046,1.72,335,,,,,,,,,,
817.19,13469,6,1,6,0.1277,0.1044,0.0233,0.0355,0.0646,0.0971,0.0646,-0.1335,5.07,0.38,0,0,0,0,0,0,1.72,335,,,,,,,,,,
817.62,13489,6,1,5.7,0.1201,0.102,0.0181,0.0349,0.0639,0.0964,0.0639,-0.1341,5.06,0.36,0,0,0,0,0,0,1.72,335,,,,,,,,,,
818.04,13509,3,1,3,0.0577,0.0991,-0.0414,0.0341,0.0632,0.0957,0.0632,-0.135,5.07,0.24,0,0,0,0,0,0,1.72,336,,,,,,,,,,
818.42,13529,3,1,3,0.0577,0.0957,-0.038,0.0332,0.0623,0.0949,0.0623,-0.1364,5.08,0.43,0,0,0,0,0,0,1.72,336,,,,,,,,,,
818.81,13549,2,1,1.5,0.0311,0.0919,-0.0608,0.0321,0.0613,0.094,0.0613,-0.138,5.09,0.33,0,0,0,0,0,0,1.72,336,,,,,,,,,,
819.22,13569,0,1,0,0,0.0879,-0.0879,0.031,0.0604,0.0934,0.0604,-0.1402,5.1,0.26,0,0,0,0,0,0,1.72,336,,,,,,,,,,
819.67,13589,1,1,1.25,0.0266,0.0843,-0.0577,0.0304,0.0602,0.0935,0.0602,-0.1428,5.11,0.21,0,0,0,0,0,0,1.72,336,,,,,,,,,,
820.09,13609,5,1,5,0.0926,0.0817,0.0109,0.0305,0.0609,0.0948,0.0609,-0.1462,5.1,0.19,0,0,0,0,0,0,1.72,336,,,,,,,,,,
820.46,13629,5,1,5,0.0926,0.0806,0.012,0.0313,0.0625,0.0974,0.0625,-0.1501,5.09,0.17,0,0,0,0,0,0,1.71,336,,,,,,,,,,
820.83,13649,3,1,2.8,0.0453,0.0817,-0.0364,0.0327,0.0648,0.1007,0.0648,-0.1544,5.07,0.15,0,0,0,0,0,0,1.71,336,,,,,,,,,,
821.16,13669,1,1,1,0.0143,0.0855,-0.0713,0.0343,0.0674,0.1046,0.0674,-0.1589,5.05,0.22,0,0,0,0,0,0,1.71,336,,,,,,,,,,
821.44,13689,1,1,1,0.0143,0.0924,-0.0781,0.0359,0.0701,0.1085,0.0701,-0.1634,5.04,0.24,0,0,0,0,0,0,1.71,336,,,,,,,,,,
821.73,13709,1,1,1.1,0.0157,0.1023,-0.0866,0.0377,0.073,0.1125,0.073,-0.1678,5.03,0.32,0,0,0,0,0,0,1.71,337,,,,,,,,,,
822.01,13729,3,1,3,0.04,0.1152,-0.0752,0.0396,0.076,0.1168,0.076,-0.1724,5.02,0.88,0,0,0,0,0,0,1.72,337,,,,,,,,,,
822.28,13749,3,1,3,0.04,0.1305,-0.0905,0.0417,0.0792,0.1213,0.0792,-0.1769,5.01,0.63,0,0,0,0,0,0,1.72,337,,,,,,,,,,
822.55,13769,3,1,3,0.04,0.1474,-0.1074,0.044,0.0827,0.1261,0.0827,-0.1815,5,0.61,0,0,0,0,0,0,1.73,337,,,,,,,,,,
822.81,13789,5,1,4.8,0.0633,0.1646,-0.1013,0.0465,0.0864,0.1312,0.0864,-0.1861,4.98,0.55,0,0,0,0,0,0,1.74,337,,,,,,,,,,
823.08,13809,9,1,9,0.1154,0.1807,-0.0653,0.0493,0.0905,0.1366,0.0905,-0.1907,4.96,0.61,0,0,0,0,0,0,1.75,337,,,,,,,,,,
823.33,13829,9,1,9,0.1154,0.1945,-0.0791,0.0522,0.0947,0.1424,0.0947,-0.1954,4.93,0.74,0,0,0,0,0,0,1.76,337,,,,,,,,,,
823.59,13849,9,1,9,0.1154,0.2055,-0.0901,0.0554,0.0993,0.1484,0.0993,-0.2,4.9,0.98,0,0,0,0,0,0,1.77,337,,,,,,,,,,
823.85,13869,21,1,21,0.2592,0.2134,0.0458,0.0588,0.1041,0.1547,0.1041,-0.2046,4.86,0.01,0,0,0,0,0,0,1.78,337,,,,,,,,,,
824.09,13889,39,1,39,0.4535,0.2185,0.235,0.0623,0.1089,0.1611,0.1089,-0.2091,4.82,0,0,0,0,0,0,0,1.79,337,,,,,,,,,,
