depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
508.33,10995,0,1,0,0,0.222,-0.222,0.1444,0.2327,0.3317,0.2327,-0.3702,4.18,0.75,0,0,0,0,0,0,4.28,186,,,,,,,,,,
509.33,11004,0,1,0.33,0.0386,0.2232,-0.1846,0.1458,0.2344,0.3336,0.2344,-0.3701,4.21,0.51,0,0,0,0,0,0,4.22,187,,,,,,,,,,
510.38,11013,1,1,1.44,0.1806,0.2249,-0.0443,0.1473,0.2361,0.3356,0.2361,-0.3701,4.24,0.49,0,0,0,0,0,0,4.17,187,,,,,,,,,,
511.5,11022,1,1,0.89,0.1111,0.227,-0.1159,0.1488,0.2379,0.3377,0.2379,-0.3702,4.27,0.52,0,0,0,0,0,0,4.11,187,,,,,,,,,,
512.63,11031,1,1,0.67,0.0833,0.2295,-0.1462,0.1503,0.2397,0.3398,0.2397,-0.3702,4.31,0.54,0,0,0,0,0,0,4.05,188,,,,,,,,,,
513.75,11040,1,1,1,0.1142,0.2322,-0.1181,0.1519,0.2415,0.342,0.2415,-0.3703,4.34,0.48,0,0,0,0,0,0,3.99,187,,,,,,,,,,
514.78,11049,0,1,0.22,0.0271,0.2351,-0.2081,0.1535,0.2434,0.3442,0.2434,-0.3704,4.37,0.59,0,0,0,0,0,0,3.93,187,,,,,,,,,,
515.88,11058,1,1,0.89,0.1111,0.2381,-0.127,0.1552,0.2454,0.3465,0.2454,-0.3705,4.4,0.61,0,0,0,0,0,0,3.87,187,,,,,,,,,,
517,11067,3,1,2.67,0.3333,0.2412,0.0922,0.1568,0.2473,0.3488,0.2473,-0.3706,4.43,0.54,0,0,0,0,0,0,3.81,187,,,,,,,,,,
518.13,11076,0,1,0,0,0.2442,-0.2442,0.1584,0.2492,0.351,0.2492,-0.3708,4.47,0.59,0,0,0,0,0,0,3.75,186,,,,,,,,,,
519.25,11085,0,1,0.33,0.0437,0.2472,-0.2036,0.1601,0.2512,0.3533,0.2512,-0.3709,4.5,0.66,0,0,0,0,0,0,3.68,186,,,,,,,,,,
520.43,11094,1,1,1,0.1329,0.2502,-0.1173,0.1617,0.2531,0.3556,0.2531,-0.3711,4.53,0.67,0,0,0,0,0,0,3.62,186,,,,,,,,,,
