depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
712.45,10501,11,1,10.6,0.5565,0.6369,-0.0804,0.1191,0.232,0.3585,0.232,-0.5388,2.82,0.56,0,0,0,0,0,0,1.73,270,,,,,,,,,,
713.5,10521,14,1,14.45,0.7586,0.6121,0.1465,0.1135,0.2228,0.3454,0.2228,-0.5238,2.84,0.42,1,0,0,0,0,0,1.68,269,,,,,,,,,,
714.55,10541,13,1,12.9,0.6844,0.5877,0.0967,0.1101,0.2168,0.3363,0.2168,-0.5114,2.87,0.66,0,0,0,0,0,0,1.63,269,,,,,,,,,,
715.61,10561,9,1,8.75,0.4545,0.5642,-0.1097,0.1091,0.2139,0.3314,0.2139,-0.5019,2.89,0.25,0,0,0,0,0,0,1.59,269,,,,,,,,,,
716.65,10581,8,1,8.3,0.4022,0.5412,-0.1391,0.1106,0.2147,0.3314,0.2147,-0.4961,2.92,0.28,0,0,0,0,0,0,1.55,268,,,,,,,,,,
717.62,10601,8,1,7.8,0.3826,0.5183,-0.1357,0.1146,0.2191,0.3362,0.2191,-0.4942,2.96,0.29,0,0,0,0,0,0,1.52,268,,,,,,,,,,
718.6,10621,7,1,7,0.3611,0.4952,-0.1342,0.1205,0.2264,0.345,0.2264,-0.4961,3,0.26,0,0,0,0,0,0,1.49,268,,,,,,,,,,
719.63,10641,13,1,12.85,0.6344,0.4721,0.1624,0.1278,0.2358,0.3569,0.2358,-0.5017,3.05,0.41,1,0,0,0,0,0,1.47,267,,,,,,,,,,
720.62,10661,11,1,11.2,0.567,0.4496,0.1174,0.1362,0.2471,0.3715,0.2471,-0.5105,3.1,0.07,0,0,0,0,0,0,1.45,267,,,,,,,,,,
721.63,10681,7,1,7.35,0.3868,0.429,-0.0421,0.1451,0.2595,0.3878,0.2595,-0.5216,3.16,0.55,0,0,0,0,0,0,1.43,267,,,,,,,,,,
722.68,10701,4,1,4.2,0.2296,0.4111,-0.1814,0.1541,0.2722,0.4046,0.2722,-0.5341,3.21,0.08,0,0,0,0,0,0,1.41,266,,,,,,,,,,
723.78,10721,9,1,9.4,0.4625,0.3964,0.0661,0.1629,0.2847,0.4213,0.2847,-0.5469,3.27,0.34,0,0,0,0,0,0,1.4,266,,,,,,,,,,
724.76,10741,7,1,6.5,0.3095,0.3856,-0.0761,0.1713,0.2967,0.4373,0.2967,-0.5597,3.33,0.28,0,0,0,0,0,0,1.39,266,,,,,,,,,,
725.71,10761,5,1,5,0.2464,0.3796,-0.1332,0.1788,0.3077,0.4521,0.3077,-0.5718,3.39,0.17,0,0,0,0,0,0,1.39,265,,,,,,,,,,
726.7,10781,6,1,5.7,0.285,0.3793,-0.0943,0.1855,0.3175,0.4654,0.3175,-0.5834,3.44,0.04,0,0,0,0,0,0,1.38,265,,,,,,,,,,
727.7,10801,6,1,6,0.3111,0.3851,-0.074,0.1914,0.3265,0.478,0.3265,-0.5962,3.47,0.98,0,0,0,0,0,0,1.38,265,,,,,,,,,,
728.74,10821,9,1,9,0.4398,0.3966,0.0432,0.1966,0.3354,0.491,0.3354,-0.6123,3.5,0.77,0,0,0,0,0,0,1.38,264,,,,,,,,,,
729.71,10841,8,1,7.9,0.3762,0.4137,-0.0375,0.202,0.3454,0.5062,0.3454,-0.6339,3.52,0.34,0,0,0,0,0,0,1.38,264,,,,,,,,,,
730.67,10861,4,1,4.4,0.2239,0.4516,-0.2277,0.2085,0.3579,0.5253,0.3579,-0.6619,3.53,0.43,0,0,0,0,0,0,1.37,264,,,,,,,,,,
731.68,10881,4,1,3.7,0.1879,0.4795,-0.2916,0.2171,0.3739,0.5497,0.3739,-0.6968,3.54,0.02,0,0,0,0,0,0,1.37,263,,,,,,,,,,
732.7,10901,7,1,6.8,0.3525,0.5125,-0.1599,0.2284,0.3943,0.5803,0.3943,-0.7384,3.54,0.95,0,0,0,0,0,0,1.37,263,,,,,,,,,,
733.74,10921,7,1,7.25,0.3426,0.5509,-0.2084,0.2426,0.419,0.6168,0.419,-0.7856,3.53,1,0,0,0,0,0,0,1.36,263,,,,,,,,,,
734.68,10941,6,1,5.7,0.2857,0.5957,-0.31,0.2596,0.4479,0.6589,0.4479,-0.8375,3.52,0.95,0,0,0,0,0,0,1.35,262,,,,,,,,,,
735.68,10961,6,1,5.7,0.28,0.6474,-0.3674,0.2798,0.4811,0.7066,0.4811,-0.8929,3.5,0.07,0,0,0,0,0,0,1.34,262,,,,,,,,,,
736.67,10981,8,1,7.95,0.4045,0.7067,-0.3022,0.3031,0.5183,0.7595,0.5183,-0.9509,3.48,0.68,0,0,0,0,0,0,1.33,262,,,,,,,,,,
737.68,11001,10,1,9.7,0.4927,0.7734,-0.2808,0.3289,0.5588,0.8164,0.5588,-1.0107,3.45,0.86,0,0,0,0,0,0,1.32,261,,,,,,,,,,
738.7,11021,8,1,7.9,0.4438,0.8461,-0.4023,0.3559,0.601,0.8756,0.601,-1.072,3.4,1,0,0,0,0,0,0,1.31,261,,,,,,,,,,
739.82,11041,27,1,27.4,1.3508,0.9226,0.4282,0.3833,0.6437,0.9357,0.6437,-1.1347,3.35,0.99,1,0,0,0,0,0,1.29,261,,,,,,,,,,
740.81,11061,25,1,24.6,1.1714,1.0059,0.1655,0.4104,0.6866,0.9961,0.6866,-1.1987,3.28,0.34,0,0,0,0,0,0,1.28,260,,,,,,,,,,
741.76,11081,31,1,30.5,1.3577,1.0836,0.274,0.4376,0.7297,1.057,0.7297,-1.2641,3.2,0.14,0,0,0,0,0,0,1.27,260,,,,,,,,,,
742.65,11101,21,1,21,0.9652,1.1579,-0.1927,0.4655,0.7738,1.1194,0.7738,-1.331,3.12,0,0,0,0,0,0,0,1.26,260,,,,,,,,,,
743.57,11121,12,1,12.45,0.6092,1.2335,-0.6243,0.4947,0.8197,1.1841,0.8197,-1.3995,3.03,0,0,0,0,0,0,0,1.26,259,,,,,,,,,,
744.55,11141,17,1,16.95,0.8475,1.3101,-0.4626,0.5258,0.8682,1.252,0.8682,-1.4696,2.93,0.01,0,0,0,0,0,0,1.26,259,,,,,,,,,,
745.55,11161,37,1,36.95,1.901,1.3874,0.5135,0.5592,0.9195,1.3234,0.9195,-1.5406,2.85,0.36,0,0,0,0,0,0,1.28,259,,,,,,,,,,
746.58,11181,37,1,37.4,1.9684,1.4617,0.5067,0.5947,0.9733,1.3978,0.9733,-1.6117,2.76,0.26,0,0,0,0,0,0,1.3,258,,,,,,,,,,
747.63,11201,65,1,65.4,3.137,1.5403,1.5967,0.6317,1.0287,1.4738,1.0287,-1.6819,2.69,0.19,0,0,1,0,0,0,1.33,258,,,,,,,,,,
748.59,11221,60,1,59.7,2.9493,1.62,1.3293,0.6695,1.0847,1.5502,1.0847,-1.7499,2.62,0.63,1,1,0,1,0,17.0624,1.37,257,,,,,,,,,,
749.58,11241,37,1,37.2,1.846,1.6996,0.1464,0.7078,1.1406,1.6258,1.1406,-1.8146,2.55,0.16,0,0,0,0,0,0,1.42,257,,,,,,,,,,
750.57,11261,53,1,52.5,2.5,1.7716,0.7284,0.7469,1.1968,1.7011,1.1968,-1.8749,2.5,0.95,0,0,0,0,0,0,1.47,257,,,,,,,,,,
751.52,11281,52,1,52,2.6065,1.8471,0.7594,0.7875,1.2539,1.7767,1.2539,-1.9303,2.44,0.81,0,0,0,0,0,0,1.54,256,,,,,,,,,,
752.53,11301,46,1,46.25,2.5086,1.9213,0.5873,0.8296,1.3118,1.8523,1.3118,-1.9802,2.37,0.04,0,0,0,0,0,0,1.61,256,,,,,,,,,,
753.61,11321,37,1,36.75,1.8521,1.994,-0.1419,0.8719,1.369,1.9261,1.369,-2.0243,2.31,0,0,0,0,0,0,0,1.69,256,,,,,,,,,,
754.62,11341,27,1,26.8,1.2762,2.0643,-0.7881,0.9135,1.4242,1.9967,1.4242,-2.0628,2.24,0.05,0,0,0,0,0,0,1.77,255,,,,,,,,,,
755.57,11361,33,1,33.15,1.5786,2.1219,-0.5433,0.9539,1.4773,2.064,1.4773,-2.0963,2.17,0.32,0,0,0,0,0,0,1.86,255,,,,,,,,,,
756.52,11381,49,1,48.5,2.4311,2.1753,0.2558,0.9923,1.5274,2.1271,1.5274,-2.1257,2.09,0.99,0,0,0,0,0,0,1.94,255,,,,,,,,,,
