"Depth","Age","spike.conc","Abies","Acer.rubrum.type","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteroideae","Betula","Botrychium.type","Brasenia","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cichorioideae","Corylus","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fagus","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Iso..tes","Iva.type","Juglans.nigra","Juniperus.type","Liquidambar","Lycopodium.spike","Magnolia.virginiana.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmundastrum.cinnamomeum","Ostrya.Carpinus","Persicaria.amphibia.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.fimbriatum.type","Polygonum.polygamum.type","Polypodium","Potamogeton","Pteridium.type","Quercus","Rosaceae.undiff.","Sagittaria","Salix","Sambucus","Selaginella.arenicola","Serenoa","Sporormiella","Thalictrum","Tsuga","Ulmus","Unknown","Utricularia","Vitis","total"
253,9721,NA,0,0,0,0.562587904,0.281293952,0.562587904,0,0,0.562587904,0.843881857,0,4.219409283,0,3.656821378,0,0,0,0,0,0,0.562587904,0,0,0,0,0.843881857,0.281293952,0,0,0.281293952,0,0,0,0.843881857,3.094233474,0,0,0,0,0.281293952,0,0,0.843881857,0,0,3.375527426,0,34.17721519,0.281293952,2.250351617,0,0,0,0,0,41.91279887,0,0,0,0,0,0,0,0,0,0,0,0,0.281293952,100
259,10167,NA,0,0,0,0.301659125,0,0,0,0,1.809954751,0,0,3.921568627,0,3.619909502,0,0,0,0,0,0,0,0,0,0,0,0.301659125,0,0,0.301659125,0,0,0,0.301659125,1.206636501,3.318250377,0,0,0,0,0.301659125,0.301659125,0,0.301659125,0,0,2.111613876,0,27.30015083,0,0.60331825,0,0,0,0.301659125,0,52.18702866,0.301659125,0,0,0,0,0,0,0,0,0.904977376,0.301659125,0,0,100
261,10305,NA,0,0,0,0.296296296,0.296296296,0.296296296,0,0,0.296296296,0.888888889,0,5.037037037,0,2.37037037,0,0,0,0,0,0,0.296296296,0,0,0,0,0.888888889,0,0,2.962962963,0.592592593,0,0,0.296296296,0.592592593,2.37037037,0,0.296296296,0.592592593,0,0,0,0,1.481481481,0,0,0.592592593,0,23.55555556,0,1.481481481,0,0,0,0,0,52.74074074,0,0.296296296,0,0.296296296,0,0,0,0,0.592592593,0.296296296,0.296296296,0,0,100
263,10445,NA,0,0,0,1.483679525,0.296735905,0.296735905,0,0.296735905,0.296735905,0.296735905,0,1.483679525,0.296735905,8.902077151,0,0,0,0,0,0.59347181,0.890207715,0,0,0,0,7.121661721,0.59347181,0,0.890207715,3.857566766,0.296735905,0.296735905,2.670623145,1.18694362,0.59347181,0,0.296735905,0,0,0.296735905,0.296735905,0,4.747774481,0,0,0.296735905,0,10.97922849,0.296735905,0.59347181,0,0,0,0,0,47.1810089,0,0,0,0,0,0,0,0,0,1.18694362,0.890207715,0,0.296735905,100
265,10573,NA,0,0,0,1.267427123,0,0.506970849,0,0,0,0.760456274,0,1.013941698,0,7.858048162,0,0.506970849,0.253485425,0,0,1.013941698,1.267427123,0,0.253485425,0,0,5.069708492,1.013941698,0,1.267427123,10.64638783,0.253485425,0.253485425,5.576679341,0.253485425,1.774397972,0,0,0.506970849,0.253485425,0,0,0,4.309252218,0,0.126742712,0.506970849,0,3.548795944,0.253485425,0.506970849,0,0,0,0,0,47.4017744,0,0,0,0,0,0,0,0,0.253485425,1.267427123,0,0.253485425,0,100
267,10729,NA,0,0,0,1.371742112,0,0.823045267,0,0,0.548696845,1.09739369,0,0.548696845,0,10.42524005,0,0.548696845,0.548696845,0,0,0,0.823045267,0,0,0,0,8.77914952,0.548696845,0,0.548696845,8.230452675,0.274348422,0,3.566529492,0.548696845,1.646090535,0,0,0.274348422,0,0.274348422,0.274348422,0,7.68175583,0,0.137174211,1.09739369,0,4.115226337,0.823045267,0.274348422,0,0,0,0,0,42.52400549,0,0,0,0,0,0,0,0,0.274348422,0.274348422,0,0.274348422,0.823045267,100
269,10872,NA,0,0,0.259403372,0.259403372,0,0.778210117,0,0.259403372,0,0.259403372,0,0.778210117,0.259403372,8.04150454,0,0.259403372,0,0,0,1.556420233,0.778210117,0,0,0,0,7.263294423,1.815823606,0,2.33463035,9.338521401,0.778210117,0,4.409857328,0.778210117,0.778210117,0,0.259403372,0,0,0,0,0,5.188067445,0,0.259403372,0,0,4.280155642,0,0.778210117,0,0,0,0,0,44.8767834,0,0,0.778210117,0,0,0,0,0,0,1.037613489,0.778210117,0,0.778210117,100
271,11015,NA,0,0,0.247524752,0.99009901,0,0.742574257,0,0,0.495049505,1.485148515,0,0.742574257,0,9.405940594,0,0.247524752,0,0,0,0,1.237623762,0.247524752,0,0.247524752,0,4.95049505,0.742574257,0,2.722772277,7.673267327,0.247524752,0.495049505,2.475247525,0.247524752,2.227722772,0,0,0.247524752,0.247524752,0,0,0,5.940594059,0,0.247524752,0.99009901,0,3.465346535,1.732673267,0,0,0,0,0,0,46.53465347,0,0.247524752,0.247524752,0,0,0,0,0,0.742574257,1.237623762,0.247524752,0,0,100
273,11173,NA,0,0,0,1.34589502,0,0.538358008,0,0,0.269179004,0,0,0,0,12.38223419,0,0,0,0.269179004,0,0.269179004,0.807537012,0,0,0,0,6.998654105,0.807537012,0,1.34589502,10.76716016,1.076716016,0.269179004,3.230148048,0,0.269179004,0,0,0.269179004,0.269179004,0,0,0,4.306864065,0,1.34589502,0.538358008,0,4.710632571,2.153432032,0,0,0,0,0,0,42.26110363,0,0.269179004,0,0,0,0,0,0,0.538358008,2.422611036,0.269179004,0,0,100
275,11314,NA,0,0,0,0.771208226,0,0.514138817,0,0.514138817,0.257069409,0.514138817,0,0.771208226,0,10.53984576,0,0,0.257069409,0,0,0.257069409,0.514138817,0,0,0,0,4.370179949,0.771208226,0.257069409,0.771208226,9.511568123,0,0.514138817,4.884318766,0,0.771208226,0,0.257069409,0,0,0,0,0,4.370179949,0,0.257069409,0.257069409,0,1.799485861,1.285347044,0,0,0,0,0,0,52.69922879,0,0,0.257069409,0,0,0,0,0.257069409,0.257069409,1.285347044,0,0,0.257069409,100
277,11455,NA,0,0,0,0.61633282,0,0,0,0.61633282,0,0.92449923,0,0,0,8.628659476,0.30816641,0,0,0,0,0.92449923,0.61633282,0,0,0,0,7.087827427,0,0.30816641,4.930662558,0.92449923,0.30816641,0.30816641,2.157164869,0,1.848998459,0,0,0.30816641,0,0,0,0,7.087827427,0,0,0.30816641,0,3.543913713,0.30816641,0.30816641,0,0,0,0,0,53.62095532,0,0,0.30816641,0,0,0,0,0,0,2.157164869,0.92449923,0,0.61633282,100
